symbol,name,reportDate,fiscalDateEnding,estimate,currency
ACIC,American Coastal Insurance Corp,2025-08-06,2025-06-30,0.4,USD
ACITF,ACITF,2025-09-24,2025-06-30,,USD
ACIU,AC Immune SA,2025-08-06,2025-06-30,-0.1809,USD
ACIW,ACI Worldwide Inc,2025-07-31,2025-06-30,0.125,USD
ACIXF,ACIXF,2025-08-21,2025-06-30,,USD
ACJJF,ACJJF,2025-07-29,2025-06-30,,USD
ACKAF,ACKAF,2025-07-25,2025-06-30,,USD
ACKAY,ACKAY,2025-07-28,2025-06-30,,USD
ACKDF,ACKDF,2025-08-21,2025-06-30,,USD
ACKRF,ACKRF,2025-08-21,2025-06-30,,USD
ACLIF,ACLIF,2025-08-27,2025-06-30,,USD
ACLLF,ACLLF,2025-07-31,2025-06-30,0.89,USD
ACLLY,ACLLY,2025-08-27,2025-06-30,,USD
ACLS,Axcelis Technologies Inc,2025-07-30,2025-06-30,0.7074,USD
ACLX,Arcellx Inc,2025-08-18,2025-06-30,-1.02,USD
ACM,AECOM,2025-08-11,2025-06-30,1.27,USD
ACMLF,ACMLF,2025-08-04,2025-06-30,,USD
ACMR,ACM Research Inc - Class A,2025-08-01,2025-06-30,0.4916,USD
ACN,Accenture plc - Class A,2025-09-25,2025-08-31,2.97,USD
ACNB,ACNB Corp,2025-07-24,2025-06-30,1.15,USD
ACNDF,ACNDF,2025-07-30,2025-06-30,,USD
ACNT,Ascent Industries Company,2025-08-12,2025-06-30,0.27,USD
ACOPF,ACOPF,2025-08-17,2025-06-30,,USD
ACOPY,ACOPY,2025-08-18,2025-06-30,,USD
ACR,ACRES Commercial Realty Corp,2025-07-29,2025-06-30,0.48,USD
ACR-PD,ACR-PD,2025-07-29,2025-06-30,,USD
ACRE,Ares Commercial Real Estate Corp,2025-08-06,2025-06-30,-0.0392,USD
ACRFF,ACRFF,2025-07-31,2025-06-30,,USD
ACRG,ACRG,2025-07-14,2025-06-30,,USD
ACRS,Aclaris Therapeutics Inc,2025-08-06,2025-06-30,-0.1383,USD
ACRV,Acrivon Therapeutics Inc,2025-08-08,2025-06-30,-1.09,USD
ACRXF,ACRXF,2025-07-24,2025-06-30,,USD
ACSAF,ACSAF,2025-07-30,2025-06-30,,USD
ACSAY,ACSAY,2025-07-24,2025-06-30,0,USD
ACST,ACST,2025-08-07,2025-06-30,,USD
ACT,Enact Holdings Inc,2025-07-30,2025-06-30,1.11,USD
ACTG,Acacia Research Corp,2025-08-18,2025-06-30,-0.04,USD
ACTHF,ACTHF,2025-09-10,2025-08-31,,CAD
ACTU,Actuate Therapeutics Inc,2025-09-03,2025-06-30,-0.19,USD
ACU,Acme United Corp,2025-07-17,2025-06-30,0.725,USD
ACVA,ACV Auctions Inc - Class A,2025-08-06,2025-06-30,0.07,USD
ACWRF,ACWRF,2025-08-15,2025-06-30,,USD
ACXAF,ACXAF,2025-08-11,2025-06-30,0.21,USD
ACXIF,ACXIF,2025-07-27,2025-06-30,,USD
ACXP,Acurx Pharmaceuticals Inc,2025-08-18,2025-06-30,-0.18,USD
ADAG,Adagene Inc,2025-08-27,2025-06-30,-0.33,USD
ADAP,Adaptimmune Therapeutics Plc,2025-08-06,2025-06-30,-0.0538,USD
ADBE,Adobe Inc,2025-09-11,2025-08-31,5.18,USD
ADC,Agree Realty Corp,2025-07-21,2025-06-30,0.4501,USD
ADC-PA,ADC-PA,2025-07-21,2025-06-30,,USD
ADCOF,ADCOF,2025-08-13,2025-06-30,,USD
ADCT,Adc Therapeutics SA,2025-08-12,2025-06-30,-0.3967,USD
ADDDF,ADDDF,2025-07-30,2025-06-30,1.98,EUR
ADDLF,ADDLF,2025-07-15,2025-06-30,1.32,USD
ADDYY,ADDYY,2025-07-30,2025-06-30,1.09,EUR
ADEA,Adeia Inc,2025-08-12,2025-06-30,0.2585,USD
ADERY,ADERY,2025-08-07,2025-06-30,,USD
ADFJF,ADFJF,2025-09-11,2025-07-31,0.39,USD
ADI,Analog Devices Inc,2025-08-20,2025-07-31,1.94,USD
ADLRF,ADLRF,2025-07-31,2025-06-30,0.37,USD
ADM,Archer Daniels Midland Company,2025-07-29,2025-06-30,0.8445,USD
ADMA,Adma Biologics Inc,2025-08-06,2025-06-30,0.1533,USD
ADMLF,ADMLF,2025-09-16,2025-06-30,0.1,USD
ADMT,ADMT,2025-08-18,2025-06-30,,USD
ADNT,Adient plc,2025-07-31,2025-06-30,0.4405,USD
ADOCY,ADOCY,2025-09-25,2025-06-30,0,USD
ADOOY,ADOOY,2025-09-01,2025-06-30,0.1879,USD
ADP,Automatic Data Processing Inc,2025-07-29,2025-06-30,2.28,USD
ADPT,Adaptive Biotechnologies Corp,2025-07-30,2025-06-30,-0.2414,USD
ADPXF,ADPXF,2025-07-29,2025-06-30,,USD
ADPXY,ADPXY,2025-07-29,2025-06-30,,USD
ADRNY,ADRNY,2025-08-06,2025-06-30,0.7471,USD
ADRZF,ADRZF,2025-07-31,2025-06-30,1.19,USD
ADRZY,ADRZY,2025-07-23,2025-06-30,0.2462,USD
ADSGF,ADSGF,2025-08-14,2025-06-30,,USD
ADSK,Autodesk Inc,2025-09-02,2025-07-31,2.45,USD
ADT,ADT Inc,2025-07-31,2025-06-30,0.1992,USD
ADTN,ADTRAN Holdings Inc,2025-08-06,2025-06-30,-0.01,USD
ADTTF,ADTTF,2025-07-29,2025-06-30,20.82,JPY
ADUR,ADUR,2025-08-04,2025-05-31,-0.1,USD
ADUS,Addus HomeCare Corporation,2025-08-04,2025-06-30,1.47,USD
ADV,Advantage Solutions Inc - Class A,2025-08-12,2025-06-30,0.1193,USD
ADVM,Adverum Biotechnologies Inc,2025-08-11,2025-06-30,,USD
ADVNF,ADVNF,2025-08-28,2025-06-30,,AUD
ADVOF,ADVOF,2025-08-07,2025-06-30,,USD
ADWPF,ADWPF,2025-08-06,2025-06-30,,CAD
ADWYF,ADWYF,2025-07-29,2025-06-30,,USD
ADXDF,ADXDF,2025-08-13,2025-06-30,,USD
ADXRF,ADXRF,2025-07-29,2025-06-30,,USD
ADXS,ADXS,2025-08-08,2025-06-30,0,USD
ADYEY,ADYEY,2025-08-14,2025-06-30,0.1881,USD
ADYRF,ADYRF,2025-08-28,2025-06-30,,USD
ADYX,ADYX,2025-08-13,2025-06-30,0,USD
ADYYF,ADYYF,2025-08-14,2025-06-30,,USD
AEBMF,AEBMF,2025-08-12,2025-06-30,0.69,USD
AEBZY,AEBZY,2025-08-06,2025-06-30,0.0359,USD
AECLY,AECLY,2025-07-30,2025-06-30,,USD
AEDFF,AEDFF,2025-07-30,2025-06-30,,USD
AEE,Ameren Corp,2025-07-31,2025-06-30,1.07,USD
AEG,Aegon Ltd,2025-08-22,2025-06-30,,EUR
AEGOF,AEGOF,2025-08-21,2025-06-30,,USD
AEGXF,AEGXF,2025-07-31,2025-06-30,0.11,USD
AEHR,Aehr Test Systems,2025-10-08,2025-08-31,0.0313,USD
AEIS,Advanced Energy Industries Inc,2025-07-28,2025-06-30,1.31,USD
AEM,Agnico Eagle Mines Ltd,2025-07-29,2025-06-30,1.58,USD
AEMD,Aethlon Medical Inc,2025-08-12,2025-06-30,,USD
AEMFF,AEMFF,2025-08-12,2025-06-30,,USD
AEMMF,AEMMF,2025-07-31,2025-06-30,,USD
AEMMY,AEMMY,2025-07-31,2025-06-30,0,USD
AEO,American Eagle Outfitters Inc,2025-08-28,2025-07-31,0.2487,USD
AEOJF,AEOJF,2025-07-31,2025-05-31,25.75,USD
AEORF,AEORF,2025-09-11,2025-07-31,,USD
AEOXF,AEOXF,2025-07-30,2025-06-30,,USD
AEP,American Electric Power Company Inc,2025-07-30,2025-06-30,1.22,USD
AEPLF,AEPLF,2025-08-21,2025-06-30,,USD
AER,Aercap Holdings N.V.,2025-07-30,2025-06-30,2.82,USD
AES,AES Corp,2025-07-30,2025-06-30,0.4649,USD
AESI,Atlas Energy Solutions Inc,2025-08-04,2025-06-30,1.08,USD
AETUF,AETUF,2025-07-31,2025-06-30,0.58,USD
AEVIF,AEVIF,2025-09-04,2025-06-30,,USD
AEXAD,AEXAD,2025-08-01,2025-06-30,,USD
AEXAF,AEXAF,2025-08-01,2025-06-30,,USD
AEXFF,AEXFF,2025-09-29,2025-06-30,,USD
AEXYD,AEXYD,2025-08-01,2025-06-30,,USD
AEYE,AudioEye Inc,2025-08-06,2025-06-30,0.169,USD
AFBI,Affinity Bancshares Inc,2025-07-24,2025-06-30,,USD
AFCG,AFC Gamma Inc,2025-08-14,2025-06-30,0.2357,USD
AFG,American Financial Group Inc,2025-07-30,2025-06-30,2.16,USD
AFGVF,AFGVF,2025-08-27,2025-06-30,,USD
AFGVY,AFGVY,2025-08-27,2025-06-30,0,USD
AFGYF,AFGYF,2025-07-21,2025-04-30,,USD
AFIB,AFIB,2025-08-07,2025-06-30,-0.21,USD
AFL,Aflac Inc,2025-07-29,2025-06-30,1.72,USD
AFLYY,AFLYY,2025-07-31,2025-06-30,0.1056,USD
AFMJF,AFMJF,2025-08-14,2025-06-30,0.03,USD
AFRAF,AFRAF,2025-07-31,2025-06-30,1.5,USD
AFRM,Affirm Holdings Inc - Class A,2025-08-26,2025-06-30,0.1228,USD
AFXXF,AFXXF,2025-07-15,2025-06-30,3.98,SEK
AFYA,Afya Ltd - Class A,2025-08-14,2025-06-30,2.01,USD
AG,First Majestic Silver Corporation,2025-07-31,2025-06-30,0.09,USD
AGAE,Allied Gaming & Entertainment Inc,2025-08-18,2025-06-30,0,USD
AGAGF,AGAGF,2025-08-18,2025-06-30,,USD
AGCCF,AGCCF,2025-08-28,2025-06-30,,USD
AGCO,AGCO Corp,2025-07-24,2025-06-30,1.07,USD
AGE,AGE,2025-08-04,2025-06-30,,USD
AGESF,AGESF,2025-08-27,2025-06-30,,USD
AGESY,AGESY,2025-08-27,2025-06-30,1.88,USD
AGGHF,AGGHF,2025-09-03,2025-06-30,0,USD
AGGZF,AGGZF,2025-07-31,2025-06-30,0.7,USD
AGI,Alamos Gold Inc - Class A,2025-07-30,2025-06-30,0.3278,USD
